MUNICIPIO;UF;Total_Postos;Total_PAE;Total_Agências;Populacao;Coeficiente de ajuste populacional;IDHM;Nível de bancarização;Teledensidade estadual;Probabilidade_de_conversão;Clientes_Convertidos
NEPOMUCENO;TO;2,000000;6,000000;4,000000;3888;5;0,631000;0,003086;0,122942;0,820000;32
NEROPOLIS ;SP;2,000000;2,000000;4,000000;2009;5;0,718000;0,003982;0,334993;4,260000;86
NEVES PAULISTA;AL;1,000000;2,000000;2,000000;5254;10;0,597000;0,000952;0,145223;0,060000;3
NEW YORK;RJ;;1,000000;;4091;5;0,765000;0,000244;2,440724;42,630000;1744
NHAMUNDA;MG;;1,000000;1,000000;13193;10;0,615000;0,000152;0,119988;0,060000;8
NICOLAU VERGUEIRO ;PR;1,000000;;;4097;5;0,691000;0,000244;0,179155;1,880000;77
NILO PECANHA;PR;;1,000000;1,000000;12963;10;0,681000;0,000154;0,056623;0,080000;10
NILOPOLIS ;SP;3,000000;12,000000;10,000000;8814;10;0,798000;0,002836;0,076356;0,530000;47
NINA RODRIGUES;PR;1,000000;1,000000;;7084;10;0,639000;0,000282;0,103614;0,080000;6
NIOAQUE ;SP;2,000000;2,000000;1,000000;10336;10;0,731000;0,000484;0,065112;0,190000;20
NIQUELANDIA ;PR;3,000000;3,000000;5,000000;2106;5;0,698000;0,005223;0,348528;3,850000;81
NISIA FLORESTA;PR;2,000000;3,000000;;15619;10;0,758000;0,000320;0,046994;0,200000;31
NITEROI ;MG;51,000000;97,000000;84,000000;6632;10;0,680000;0,034982;0,238691;0,340000;23
NOBRES;PA;1;2;2;5582;10;0,676000;0,000896;0,330885;0,440000;25
NONOAI;PB;3,000000;3,000000;2,000000;2987;5;0,608000;0,002678;0,431537;2,390000;71
NORMANDIA ;PR;1,000000;2,000000;;6654;10;0,722000;0,000451;0,110310;0,280000;19
NORTELANDIA ;MG;3,000000;2,000000;;4034;5;0,650000;0,001239;0,392414;3,040000;123
NOSSA SENHORA APARECIDA ;RS;;;1,000000;14387;10;0,687000;0,000070;0,009870;0,020000;3
NOSSA SENHORA DA GLORIA ;PR;1,000000;6,000000;5,000000;2728;5;0,614000;0,004399;0,269062;1,570000;43
NOSSA SENHORA DAS DORES ;MG;1,000000;4,000000;4,000000;3995;5;0,669000;0,002253;0,396245;3,540000;141
NOSSA SENHORA DAS GRACAS;CE;1,000000;1,000000;;4340;5;0,599000;0,000461;0,526959;2,710000;118
NOSSA SENHORA DE LOURDES;SP;1,000000;2,000000;;13443;10;0,721000;0,000223;0,050063;0,130000;17
NOSSA SENHORA DO LIVRAMENTO ;RN;1,000000;1,000000;;11321;10;0,622000;0,000177;0,083650;0,050000;6
NOSSA SENHORA DOS REMEDIOS;SE;1,000000;1,000000;;8758;10;0,618000;0,000228;5,254168;2,850000;250
NOVA ALIANCA;PR;1,000000;2,000000;1,000000;8531;10;0,721000;0,000469;0,086039;0,220000;19
NOVA ALVORADA ;GO;1,000000;1,000000;2,000000;17271;10;0,699000;0,000232;0,211163;0,390000;67
NOVA ALVORADA DO SUL;BA;1,000000;3,000000;3,000000;4677;5;0,581000;0,001497;0,840282;3,710000;174
NOVA AMERICA;CE;1,000000;1,000000;;2250;5;0,616000;0,000889;1,016444;6,010000;135
NOVA AMERICA DA COLINA;PI;2,000000;1,000000;;13717;10;0,525000;0,000219;0,212947;0,020000;3
NOVA ARACA;SC;3,000000;1,000000;1,000000;6449;10;0,774000;0,000775;0,624438;3,210000;207
